LanePointX,LanePointY
-1.246248,-4.950000
-1.046158,-4.950000
-0.845271,-4.950000
-0.645314,-4.950000
-0.446058,-4.950000
-0.245958,-4.950000
-0.045963,-4.950000
0.153550,-4.950000
0.353803,-4.950000
0.553736,-4.950000
0.753430,-4.950000
0.954951,-4.950000
1.154922,-4.950000
1.353310,-4.950000
1.553902,-4.950000
4.753655,-4.950000
4.953216,-4.950000
5.153135,-4.950000
5.354003,-4.950000
5.553264,-4.950000
5.752825,-4.950000
5.953597,-4.950000
6.153568,-4.950000
6.353616,-4.950000
6.552595,-4.950000
6.754426,-4.950000
6.953610,-4.950000
7.153610,-4.950000
7.354225,-4.950000
7.553533,-4.950000
10.753402,-4.950000
10.952896,-4.950000
11.153687,-4.950000
11.353048,-4.950000
11.553015,-4.950000
11.753410,-4.950000
11.953405,-4.950000
12.153415,-4.950000
12.354249,-4.950000
12.554211,-4.950000
12.754191,-4.950000
12.953366,-4.950000
13.153328,-4.950000
13.353399,-4.950000
13.553347,-4.950000
16.753172,-4.950000
16.953143,-4.950000
17.153186,-4.950000
17.353014,-4.950000
17.553467,-4.950000
17.753481,-4.950000
17.952327,-4.950000
18.153128,-4.950000
18.353261,-4.950000
18.553246,-4.950000
18.753299,-4.950000
18.953303,-4.950000
19.153274,-4.950000
19.352721,-4.950000
19.553012,-4.950000
22.752923,-4.950000
22.952904,-4.950000
23.152427,-4.950000
23.352899,-4.950000
23.552884,-4.950000
23.752579,-4.950000
23.952888,-4.950000
24.152860,-4.950000
24.352502,-4.950000
24.553398,-4.950000
24.753422,-4.950000
24.953402,-4.950000
25.152048,-4.950000
25.352801,-4.950000
25.552787,-4.950000
28.752421,-4.950000
28.952736,-4.950000
29.152678,-4.950000
29.352325,-4.950000
29.552106,-4.950000
29.753193,-4.950000
29.951948,-4.950000
30.151905,-4.950000
30.352301,-4.950000
30.552281,-4.950000
30.751771,-4.950000
30.952734,-4.950000
31.152314,-4.950000
31.352271,-4.950000
31.552256,-4.950000
34.751972,-4.950000
34.952525,-4.950000
35.152148,-4.950000
35.351581,-4.950000
35.552410,-4.950000
35.752090,-4.950000
35.952066,-4.950000
36.151656,-4.950000
36.352171,-4.950000
36.551727,-4.950000
36.752514,-4.950000
36.952099,-4.950000
37.151736,-4.950000
37.352027,-4.950000
37.552890,-4.950000
40.750811,-4.949907
40.949927,-4.949847
41.148810,-4.949797
41.347569,-4.949768
41.546154,-4.949767
41.744697,-4.949803
41.943345,-4.949880
42.141864,-4.950003
42.339900,-4.950176
42.538506,-4.950364
42.736313,-4.950586
42.933124,-4.950859
43.130845,-4.951200
43.328553,-4.951618
43.524747,-4.952121
46.660640,-4.975675
46.855886,-4.978380
47.050126,-4.981256
47.244269,-4.984327
47.437489,-4.987589
47.631411,-4.991075
47.825384,-4.994781
48.019082,-4.998707
48.213310,-5.002872
48.406722,-5.007211
48.599353,-5.011743
48.793323,-5.016535
48.984513,-5.021501
49.177234,-5.026760
49.371017,-5.032313
52.429282,-5.159153
52.618860,-5.169714
52.807753,-5.180592
52.997475,-5.191885
53.186562,-5.203518
53.375713,-5.215541
53.564714,-5.227945
53.752695,-5.240677
53.942247,-5.253914
54.129820,-5.267372
54.319143,-5.281338
54.506915,-5.295588
54.693661,-5.310171
54.881068,-5.325226
55.068357,-5.340705
58.040422,-5.648202
58.223748,-5.671267
58.407797,-5.694945
58.591153,-5.719068
58.774225,-5.743696
58.957450,-5.768896
59.140687,-5.794657
59.322538,-5.820782
59.505920,-5.847693
59.687817,-5.874911
59.870012,-5.902718
60.050727,-5.930860
60.232055,-5.959671
60.414227,-5.989208
60.594133,-6.018976
63.454208,-6.576244
63.632139,-6.616470
63.806692,-6.656623
63.981764,-6.697588
64.157990,-6.739534
64.333284,-6.781982
64.507184,-6.824815
64.682735,-6.868785
64.857225,-6.913228
65.031234,-6.958240
65.204568,-7.003789
65.378615,-7.050258
65.551288,-7.097110
65.722774,-7.144395
65.895126,-7.192683
68.599690,-8.057444
68.765122,-8.117311
68.930306,-8.177955
69.095246,-8.239392
69.259217,-8.301361
69.423148,-8.364214
69.586747,-8.427852
69.750034,-8.492285
69.912745,-8.557413
70.075317,-8.623378
70.237136,-8.689947
70.398239,-8.757143
70.559673,-8.825415
70.719850,-8.894104
70.880493,-8.963950
73.387744,-10.186695
73.540753,-10.269816
73.693698,-10.353928
73.846126,-10.438787
73.998138,-10.524448
74.149635,-10.610856
74.300691,-10.698051
74.451054,-10.785885
74.601311,-10.874703
74.751035,-10.964255
74.900105,-11.054467
75.049082,-11.145678
75.197232,-11.237442
75.345472,-11.330325
75.493112,-11.423903
77.780769,-13.019069
77.919477,-13.125146
78.057778,-13.232052
78.194965,-13.339239
78.331577,-13.447117
78.467890,-13.555907
78.603739,-13.665482
78.739370,-13.776046
78.873748,-13.886754
79.007229,-13.997886
79.140775,-14.110243
79.273634,-14.223200
79.405798,-14.336752
79.537645,-14.451220
79.668905,-14.566377
81.683318,-16.496904
81.803822,-16.623015
81.923040,-16.749080
82.042842,-16.877075
82.161097,-17.004743
82.279167,-17.133537
82.396486,-17.262853
82.512324,-17.391874
82.628711,-17.522854
82.743904,-17.653856
82.858524,-17.785575
82.972032,-17.917389
83.085726,-18.050805
83.197816,-18.183734
83.309549,-18.317634
85.000644,-20.535708
85.101015,-20.680237
85.200751,-20.825482
85.299307,-20.970621
85.396468,-21.115289
85.494091,-21.262232
85.590756,-21.409335
85.686024,-21.555899
85.781390,-21.704207
85.875942,-21.852860
85.969483,-22.001537
86.063281,-22.152346
86.154801,-22.301181
