LanePointX,LanePointY
-1.381014,1.650000
-1.113241,1.650000
-0.854754,1.650000
-0.574011,1.650000
-0.318102,1.650000
-0.035825,1.650000
0.229123,1.650000
0.507687,1.650000
0.796674,1.650000
1.050602,1.650000
1.307753,1.650000
1.566873,1.650000
1.825956,1.650000
2.085963,1.650000
2.346511,1.650000
2.606411,1.650000
2.866118,1.650000
3.125230,1.650000
3.383631,1.650000
3.641639,1.650000
3.899115,1.650000
4.156949,1.650000
4.417711,1.650000
4.685393,1.650000
4.962548,1.650000
5.252524,1.650000
5.506004,1.650000
5.770322,1.650000
6.045294,1.650000
6.331420,1.650000
6.628258,1.650000
6.936051,1.650000
7.189809,1.650000
7.450828,1.650000
7.718823,1.650000
7.993926,1.650000
8.274897,1.650000
8.563284,1.650000
8.856629,1.650000
9.155999,1.650000
9.458958,1.650000
9.767161,1.650000
10.080127,1.650000
10.396882,1.650000
10.716998,1.650000
11.041321,1.650000
11.367066,1.650000
11.694394,1.650000
12.023044,1.650000
12.352569,1.650000
12.682292,1.650000
13.012328,1.650000
13.341523,1.650000
13.671047,1.650000
14.001373,1.650000
14.334346,1.650000
14.584899,1.650000
14.838127,1.650000
15.093566,1.650000
15.351803,1.650000
15.612881,1.650000
15.878316,1.650000
16.146415,1.650000
16.418925,1.650000
16.695143,1.650000
16.975409,1.650000
17.259635,1.650000
17.547747,1.650000
17.839755,1.650000
18.135641,1.650000
18.435112,1.650000
18.739186,1.650000
19.045875,1.650000
19.358418,1.650000
19.673221,1.650000
19.992197,1.650000
20.315246,1.650000
20.641603,1.650000
20.972896,1.650000
21.306976,1.650000
21.645800,1.650000
21.988144,1.650000
22.334142,1.650000
22.684309,1.650000
23.038410,1.650000
23.396858,1.650000
23.758122,1.650000
24.122406,1.650000
24.489835,1.650081
24.861426,1.650130
25.235118,1.649978
25.613724,1.649633
25.865868,1.649330
26.120364,1.648858
26.376360,1.648182
26.632106,1.647298
26.889583,1.646233
27.148688,1.644992
27.407609,1.643471
27.667729,1.641628
27.927981,1.639460
28.188660,1.636998
28.449803,1.634248
28.712132,1.631090
28.974358,1.627501
29.237373,1.623459
29.500077,1.619014
29.763206,1.614161
30.026084,1.608801
30.289358,1.602886
30.552434,1.596417
30.815014,1.589438
31.078182,1.581927
31.341883,1.573775
31.605497,1.564965
31.868583,1.555502
32.131641,1.545403
32.395471,1.534645
32.659015,1.523159
32.922171,1.510919
33.186209,1.497853
33.449619,1.484066
33.713234,1.469526
33.976605,1.454149
34.239529,1.437915
34.503551,1.420716
34.766681,1.402712
35.030249,1.383823
35.293414,1.363999
35.557868,1.343076
35.821303,1.321220
36.084291,1.298427
36.347242,1.274669
36.611743,1.249689
36.875098,1.223700
37.137058,1.196731
37.401354,1.168428
37.663631,1.139256
37.927120,1.108756
38.190876,1.076991
38.453666,1.044100
38.716393,1.010010
38.978750,0.974769
39.240693,0.938277
39.503491,0.900322
39.766607,0.860957
40.028686,0.820420
40.290839,0.778551
40.551580,0.735487
40.814039,0.690673
41.075891,0.644481
41.335863,0.597184
41.598226,0.548010
41.858012,0.497771
42.119403,0.445636
42.379380,0.392184
42.639244,0.337193
42.899551,0.280543
43.158479,0.222523
43.418025,0.162655
43.677694,0.101028
43.934848,0.038278
44.194234,-0.026672
44.451132,-0.092757
44.708609,-0.160813
44.966511,-0.230837
45.222923,-0.302317
45.478176,-0.375271
45.733560,-0.450140
45.989235,-0.527027
46.244158,-0.605637
46.498013,-0.685871
46.750051,-0.767472
47.002581,-0.851183
47.255646,-0.937043
47.505678,-1.023834
47.757352,-1.113166
48.007177,-1.203820
48.255938,-1.296060
48.504108,-1.390055
48.751404,-1.485698
48.999120,-1.583497
49.244452,-1.682343
49.489804,-1.783189
49.734367,-1.885709
49.978918,-1.990238
